environment,mode,seed,step,rotation,cos_fg,d,beta,gamma,gamma_active,g_contribution,predicted_decrease,realized_decrease,inflation,backtracks,max_soft_residual
CyclicControl,neural,40,17,18.05134793757855,0.05103730892837135,0.08061017059777902,0.004568155004111185,0.03,1.0,0.9310598103582534,0.0022570509675004977,0.002256089691651128,0.0,0,8.917010185793828e-11
CyclicControl,neural,40,18,18.303189215325787,0.049060489002051316,0.05941736824270627,0.0,0.03,1.0,1.0,0.001662969196208744,0.00166237203625922,0.0,0,8.903381330804816e-11
CyclicControl,neural,40,19,18.499230141701617,0.046949438103383936,0.04387340436239756,0.0,0.03,1.0,1.0,0.0012281613772239935,0.0012277990223345525,0.0,0,8.965702139041021e-11
CyclicControl,neural,40,20,18.637238649677734,0.04466729247895393,0.032429471219773756,0.0,0.03,1.0,1.0,0.0009082516806083532,0.0009080321183273198,0.0,0,8.976657091264162e-11
CyclicControl,neural,40,21,18.713910021391815,0.04221404987643745,0.024014981062860964,0.0,0.03,1.0,1.0,0.0006731233224480763,0.0006729904003172915,0.0,0,8.71314929928868e-11
CyclicControl,neural,40,22,18.723594950066236,0.03962488154727014,0.017832748437196337,0.0,0.03,1.0,1.0,0.0005004017383923309,0.0005003213096725738,0.0,0,8.420591307567449e-11
CyclicControl,neural,40,23,18.65793936274902,0.03697017696363726,0.01329192862324774,0.0,0.03,1.0,1.0,0.0003735338715687049,0.000373485219588951,0.0,0,8.997915086628172e-11
CyclicControl,neural,40,24,18.505760126659514,0.03434740308948023,0.009956231453255894,0.0,0.03,1.0,1.0,0.00028031419266683413,0.00028028476704170316,0.0,0,8.934895184831149e-11
CyclicControl,neural,40,25,18.25337405283309,0.031866734176224355,0.007504432747940451,0.0,0.03,1.0,1.0,0.00021176624402146835,0.00021174844814790192,0.0,0,8.800280469623001e-11
CyclicControl,neural,40,26,17.885671205035,0.02963536288190538,0.005700561131253071,0.0,0.03,1.0,1.0,0.00016130148638357836,0.00016129072430189073,0.0,0,8.698995863920533e-11
CyclicControl,neural,40,27,17.38821751452336,0.027745544268391317,0.004371566131901143,0.0,0.03,1.0,1.0,0.00012409115208249916,0.00012408464386076332,0.0,0,8.622277544723111e-11
CyclicControl,neural,40,28,16.75047940287337,0.026268946547729318,0.003390694530776457,0.0,0.03,1.0,1.0,9.659979526212628e-05,9.65958595773933e-05,0.0,0,8.563697320718155e-11
CyclicControl,neural,40,29,15.969800051608125,0.02525684290723826,0.00266517733305445,0.0,0.03,1.0,1.0,7.624046375528937e-05,7.623808375877006e-05,0.0,0,8.518539172663875e-11
CyclicControl,neural,40,30,15.055100741663132,0.024743867308896834,0.002127145679518133,0.0,0.03,1.0,1.0,6.112068872812793e-05,6.111924945208236e-05,0.0,0,8.48334492931091e-11
CyclicControl,neural,40,31,14.028797816002035,0.024752804033301188,0.0017269500247779276,0.0,0.03,1.0,1.0,4.985590195063713e-05,4.9855031489496465e-05,0.0,0,8.455573047294607e-11
CyclicControl,neural,40,32,12.92564613468354,0.025298514854784,0.0014282589880941846,0.0,0.03,1.0,1.0,4.1432686549137954e-05,4.143215999704089e-05,0.0,0,8.433353841652558e-11
