environment,mode,seed,step,rotation,cos_fg,d,beta,gamma,gamma_active,g_contribution,predicted_decrease,realized_decrease,inflation,backtracks,max_soft_residual
RPS,tabular,200,12,19.746326699971814,0.049378999254222546,0.7655162398667402,0.03,0.03,1.0,0.658578122735592,0.022090122376189823,0.022087737650618222,0.0,0,8.919808815177621e-11
RPS,tabular,200,13,19.647580927893557,0.04982057014557159,0.6035862176999727,0.028721564775718553,0.03,1.0,0.668567690403316,0.017374168418144063,0.017373264905850463,0.0,0,8.919808815177621e-11
RPS,tabular,200,14,19.60496908335073,0.05007891436512107,0.47574249836625726,0.027255427555232598,0.03,1.0,0.6802580113230746,0.013667817027946779,0.013667466023936758,0.0,0,8.948140492459622e-11
RPS,tabular,200,15,19.597209827227807,0.05022184492668241,0.3748669171308214,0.026182915587271368,0.03,1.0,0.6890431224317077,0.010754417298730556,0.010754273822709354,0.0,0,8.948140492459622e-11
RPS,tabular,200,16,19.608577462712418,0.05029680836466771,0.29530494455284156,0.02545061253709408,0.03,1.0,0.6951558092790018,0.008463306038247638,0.00846323523609245,0.0,0,8.813183516309664e-11
RPS,tabular,200,17,19.629279401625357,0.05033331531706698,0.23257460616196365,0.025003145516757728,0.03,1.0,0.6989329545569809,0.006660888854183362,0.0066608463496795264,0.0,0,8.809061466386048e-11
RPS,tabular,200,18,19.65328780877723,0.050349612114823174,0.18313025208178801,0.02478940639408916,0.03,1.0,0.7007412442548808,0.005242554867264746,0.005242528234392054,0.0,0,8.973817348933988e-11
RPS,tabular,200,19,19.676916559902,0.05035703895425654,0.14416919066301304,0.024764706004823552,0.03,1.0,0.7009357864620278,0.004126278270733288,0.004126262346338786,0.0,0,8.985562597804697e-11
RPS,tabular,200,20,19.69791582344089,0.05036274602386237,0.1134769097697095,0.024890838683476274,0.03,1.0,0.6998411624468902,0.003247652082012803,0.0032476438970248517,0.0,0,8.936994807390297e-11
RPS,tabular,200,21,19.714911469051394,0.05037133598998567,0.08930440383515198,0.02513535425247915,0.03,1.0,0.6977448161801904,0.002556052897710263,0.002556050282932954,0.0,0,8.992738541671597e-11
RPS,tabular,200,22,19.72706811370837,0.05038583331230389,0.07027093007006364,0.025470591737779203,0.03,1.0,0.6948970859222883,0.002011664140957849,0.00201166538823802,0.0,0,8.902774828109528e-11
RPS,tabular,200,23,19.73389418589609,0.05040824162112481,0.05528694435186464,0.025872751645975495,0.03,1.0,0.691514223430943,0.0015831557781012715,0.0015831595510005835,0.0,0,8.911430577837609e-11
RPS,tabular,200,24,19.735135234114512,0.05043985330687404,0.04349304175445125,0.026321123138463604,0.03,1.0,0.6877823264255623,0.0012458692817407266,0.0012458745636129281,0.0,0,8.971845944123757e-11
RPS,tabular,200,25,19.73072029026657,0.050481413161486716,0.03421159885523936,0.026797502481661045,0.03,1.0,0.6838611090509115,0.000980394211953275,0.0009804002527484213,0.0,0,8.903385364036898e-11
RPS,tabular,200,26,19.720738135983726,0.05053319956687193,0.026908499808256315,0.027285800404261693,0.03,1.0,0.6798870328207395,0.0007714500742535478,0.0007714563375218293,0.0,0,8.973485951697946e-11
RPS,tabular,200,27,19.705428059556397,0.050595063537367285,0.02116286555798768,0.027771816488412312,0.03,1.0,0.67597566887713,0.0006070071003837215,0.0006070132159310421,0.0,0,8.947799500034354e-11
RPS,tabular,200,28,19.685174788823186,0.05066645176699578,0.016643130273222652,0.028243148548468325,0.03,1.0,0.6722233548747553,0.00047759450204097327,0.00047760022680459497,0.0,0,8.99530749366717e-11
RPS,tabular,200,29,19.66050087188399,0.05074643073988177,0.013088146891763346,0.028689198651039298,0.03,1.0,0.6687083138243454,0.0003757560559343421,0.00037576124292014153,0.0,0,8.835934647800567e-11
RPS,tabular,200,30,19.632052553077997,0.050833722508196885,0.010292273333993216,0.02910123403872519,0.03,1.0,0.6654914484725079,0.00029562157536824484,0.00029562614946429555,0.0,0,8.994589735565953e-11
RPS,tabular,200,31,19.600577520445892,0.05092675757105119,0.008093606450924124,0.029472462064440468,0.03,1.0,0.6626170228795728,0.00023256957693939206,0.00023257351588281978,0.0,0,8.982923736453041e-11
RPS,tabular,200,32,19.566894893971472,0.05102374580260923,0.006364702905462699,0.029798080286625464,0.03,1.0,0.660113431142859,0.00018296172568177068,0.00018296504508361815,0.0,0,8.968572550740149e-11
