environment,mode,seed,method,step,current_return,hard_br_return,hard_exploitability,regularized_gap,field_norm,hard_br_residual,hard_br_iterations,soft_br_residual,soft_br_iterations
RPS,tabular,200,QP+G,80,-8.476778921375593e-11,-2.121907761078951e-05,5.654858515338583e-05,2.0564979580361964e-09,2.0280581516027608e-05,8.190332906245906e-13,145,8.167165610473147e-11,6
RPS,tabular,200,QP+G,85,-2.302584797091479e-11,-1.0628096552345179e-05,3.065868724476383e-05,6.278106506885096e-10,1.1205473829939474e-05,8.737813261567445e-13,139,4.558371013985151e-11,1
RPS,tabular,200,QP+G,90,-6.917385786024291e-12,-5.793736762367232e-06,1.691949615098553e-05,1.9246458593524802e-10,6.204275135925747e-06,8.219137566048028e-13,134,1.4112910839969571e-11,1
RPS,tabular,200,QP+G,95,-2.2588295632485412e-12,-3.3662188905541825e-06,9.480479719819489e-06,5.929520763281456e-11,3.4437010662096665e-06,8.4993511675972e-13,128,4.217033389153358e-12,1
RPS,tabular,200,QP+G,100,-8.841142709159036e-13,-2.160127099025703e-06,5.790252347928126e-06,2.1614723899610043e-11,2.079169334526091e-06,8.545771829948417e-13,123,1.4631296174627551e-12,1
RPS,tabular,200,noG,0,-0.006340925457473496,-0.6634569460159686,0.7623292926143512,0.37520699151466086,0.28469096441109143,8.540945728441329e-13,238,8.903466852672182e-11,188
RPS,tabular,200,noG,5,-0.014412750293493242,-0.6064141781503095,0.8187371546193204,0.36901753762776784,0.2853844065223364,8.674172491396348e-13,237,8.50945980346296e-11,187
RPS,tabular,200,noG,10,-0.018895107045619235,-0.5091582214647717,0.8686176820332723,0.363709347692889,0.2848439345168663,8.991696276439143e-13,235,8.637338066996847e-11,184
RPS,tabular,200,noG,15,-0.01795061570806658,-0.3627644842505842,0.8569714528556693,0.3529742371447522,0.2835027264950856,8.728018308090668e-13,235,8.677605856100001e-11,184
RPS,tabular,200,noG,20,-0.011306183589664226,-0.19144645450378903,0.7755928093144324,0.34303461816167174,0.282208828684225,8.355538483328928e-13,237,8.257722283744329e-11,187
RPS,tabular,200,noG,25,-0.006516221338845895,-0.100226015813167,0.7097588844334736,0.34151632211469585,0.2813027609282997,8.719691635405979e-13,237,8.820616459459529e-11,187
RPS,tabular,200,noG,30,-0.004619317072048673,-0.09276512359689715,0.708090798693871,0.3415621946935723,0.2808751239779264,8.801848139228241e-13,237,8.946432483725175e-11,187
RPS,tabular,200,noG,35,-0.0038042582256240585,-0.09881229471046292,0.7160166614867911,0.34166342378888004,0.2806817620761385,8.828493491819245e-13,237,8.986222876927741e-11,187
RPS,tabular,200,noG,40,-0.003427688293146199,-0.1015651439426989,0.7195197768445574,0.3417241561256165,0.28059069228118433,8.839595722065496e-13,237,8.101641579827401e-11,188
RPS,tabular,200,noG,45,-0.0032466954643738067,-0.10287955728506158,0.7211688032117733,0.3417562265864822,0.28054655482307916,8.844036614163997e-13,237,8.107842175419933e-11,188
RPS,tabular,200,noG,50,-0.003157930531278495,-0.10352218045069994,0.7219694124052329,0.34177260934617193,0.28052482424960645,8.846257060213247e-13,237,8.11075095974445e-11,188
RPS,tabular,200,noG,55,-0.0031139525453810885,-0.10384008043973268,0.7223640989456858,0.3417808821479861,0.2805140378194418,8.848477506262498e-13,237,8.112160942985724e-11,188
